
2024/11/15 (20:16:32) | ===> btop++ v.1.3.2
2024/11/15 (20:16:32) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/11/29 (10:18:44) | ===> btop++ v.1.3.2
2024/11/29 (10:18:44) | WARNING: Failed to set locale UTF-8 continuing anyway.

2026/03/01 (09:30:26) | ===> btop++ v.1.4.0
2026/03/01 (09:30:26) | ERROR: Stall in Runner thread, restarting!

2026/06/17 (10:08:07) | ===> btop++ v.1.4.0
2026/06/17 (10:08:07) | ERROR: Stall in Runner thread, restarting!
2026/06/17 (10:16:10) | ERROR: Stall in Runner thread, restarting!
2026/06/17 (10:21:06) | ERROR: Stall in Runner thread, restarting!

2026/06/26 (15:13:24) | ===> btop++ v.1.4.0
2026/06/26 (15:13:24) | ERROR: Stall in Runner thread, restarting!
2026/06/26 (15:13:30) | ERROR: Stall in Runner thread, restarting!
2026/06/26 (15:13:35) | ERROR: Stall in Runner thread, restarting!
2026/06/26 (15:13:41) | ERROR: Stall in Runner thread, restarting!
2026/06/26 (15:13:46) | ERROR: Stall in Runner thread, restarting!
2026/06/26 (15:13:52) | ERROR: Stall in Runner thread, restarting!
2026/06/26 (15:13:57) | ERROR: Stall in Runner thread, restarting!
2026/06/26 (15:14:03) | ERROR: Stall in Runner thread, restarting!
